model_id,n_concepts,activation,t_alpha,rho,divergence,error,sign_agreement
15,20,tanh,15,1000.0,1.256714,1.120182e-01,0.539474
15,20,tanh,20,10.0,1.428619,1.356350e-01,0.497368
15,20,tanh,20,1000.0,1.396620,1.205963e-01,0.502632
16,5,sigmoid,1,10.0,2.327677,2.062006e-03,0.150000
16,5,sigmoid,1,1000.0,0.849576,1.938185e-04,0.800000
16,5,sigmoid,3,10.0,2.329567,9.705415e-04,0.150000
16,5,sigmoid,3,1000.0,1.224705,1.479247e-04,0.600000
16,5,sigmoid,5,10.0,2.329708,9.832036e-04,0.150000
16,5,sigmoid,5,1000.0,1.213809,1.480990e-04,0.450000
16,5,sigmoid,10,10.0,2.329706,9.811850e-04,0.150000
16,5,sigmoid,10,1000.0,1.213926,1.480154e-04,0.450000
16,5,sigmoid,15,10.0,2.329705,9.811663e-04,0.150000
16,5,sigmoid,15,1000.0,1.213923,1.480147e-04,0.450000
16,5,sigmoid,20,10.0,2.329705,9.811661e-04,0.150000
16,5,sigmoid,20,1000.0,1.213922,1.480145e-04,0.450000
16,5,tanh,1,10.0,1.391154,1.762204e-02,0.500000
16,5,tanh,1,1000.0,0.308064,6.645230e-04,1.000000
16,5,tanh,3,10.0,1.797020,7.067955e-03,0.500000
16,5,tanh,3,1000.0,0.389788,4.391462e-04,0.850000
16,5,tanh,5,10.0,1.804254,5.746895e-03,0.500000
16,5,tanh,5,1000.0,0.453339,3.724980e-04,0.850000
16,5,tanh,10,10.0,2.014971,5.152188e-03,0.350000
16,5,tanh,10,1000.0,0.539649,3.654687e-04,0.850000
16,5,tanh,15,10.0,2.042016,3.870348e-03,0.350000
16,5,tanh,15,1000.0,0.704739,9.010157e-04,0.750000
16,5,tanh,20,10.0,2.141862,4.392224e-03,0.150000
16,5,tanh,20,1000.0,1.165081,3.076478e-04,0.800000
17,6,sigmoid,1,10.0,2.057652,2.949768e-03,0.233333
17,6,sigmoid,1,1000.0,0.655962,1.793407e-04,0.866667
17,6,sigmoid,3,10.0,2.054187,1.153716e-03,0.233333
