model_id,n_concepts,activation,metric,steps_mode,t_alpha,rho,divergence,divergence_abs,error,sign_agreement,n_iter,seconds,success
1,6,tanh,nuclear,all,1,10000.0,0.111502,0.381676,7.162526e-05,1.000000,364,0.2509,1
1,6,tanh,nuclear,half,10,1.0,1.829095,6.261055,4.121252e-02,0.466667,130,0.0764,1
1,6,tanh,nuclear,half,10,10.0,1.128757,3.863772,5.497856e-03,0.700000,329,0.1614,1
1,6,tanh,nuclear,half,10,100.0,0.647285,2.215680,1.181347e-03,0.766667,404,0.1994,1
1,6,tanh,nuclear,half,10,1000.0,0.314950,1.078083,2.289262e-04,0.900000,664,0.3163,1
1,6,tanh,nuclear,half,10,10000.0,0.151658,0.519131,4.874122e-05,1.000000,608,0.2856,1
1,6,tanh,nuclear,last,20,1.0,1.862996,6.377100,1.200181e-02,0.366667,430,0.2084,1
1,6,tanh,nuclear,last,20,10.0,1.637561,5.605427,4.952192e-03,0.500000,1000,0.4633,0
1,6,tanh,nuclear,last,20,100.0,1.139997,3.902249,3.064273e-03,0.700000,763,0.3745,1
1,6,tanh,nuclear,last,20,1000.0,1.911981,6.544777,5.814862e-03,0.233333,943,0.4787,1
1,6,tanh,nuclear,last,20,10000.0,1.768035,6.052043,7.327014e-03,0.466667,727,0.3731,1
1,6,tanh,spectral,all,1,1.0,1.706261,5.840591,4.799308e-02,0.500000,138,0.0709,1
1,6,tanh,spectral,all,1,10.0,0.992275,3.396593,1.171458e-02,0.633333,123,0.0563,1
1,6,tanh,spectral,all,1,100.0,0.639906,2.190421,2.933313e-03,0.866667,214,0.1064,1
1,6,tanh,spectral,all,1,1000.0,0.266629,0.912679,4.729160e-04,0.966667,295,0.1447,1
1,6,tanh,spectral,all,1,10000.0,0.134266,0.459598,9.729601e-05,1.000000,334,0.1630,1
1,6,tanh,spectral,half,10,1.0,1.939603,6.639328,4.977024e-02,0.366667,249,0.1244,1
